file_path,file_name,file_size,sha1,md5,sha256,first_50_bytes_hex,detected_type,yara_matches
G:/Users\win10secu3\Documents\File001,File001,10768,d2affe98fcb0a0c473ca5756c3687a246b642bb3,7d0690a235298519fdc912928f0333ef,7a6f4e0442b3b4f6f936c00e7fd813d0fda011f10496481d94805003cf4f330b,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File002,File002,556,199a95428a251a9ffddfa209706016766b48087b,e2142a946eca0ac74dd03fa1d9c67bd2,ed5de336ddc9ff34554219b5c125971399bbbbb71db8a465aa7d17bb8944eb9d,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c73205a6f6f6d0a2e4445534352495054494f4e0a095468697320,PS1,PS1_POWERSHELL
G:/Users\win10secu3\Documents\File\File003,File003,1855,2368cdb34d96a5c5c38884ed8d125ca9832107fd,821094b7f221d9b915bbc55bc9530a1c,58d04b05a781cbfe76a36ce7a5e275b65972dacd5384b990217d271d090e8e0b,436f7079726967687420286329205b796561725d205b66756c6c6e616d655d0d0a0d0a54686520556e6976657273616c2050,TXT,TEXT_FILE
G:/Users\win10secu3\Documents\File\File004,File004,149,a2e190b5a8609eb9f75095806f73d00add3e20e7,6d30132c09d8e7feb13cd0fc951b8c67,621a179e360dde879b74b9be144b8ab6e630e58ea992971f3bca9146c9635c20,406563686f206f66660d0a736574202f61206c696e653d2572616e646f6d252025252035202b20310d0a666f72202f662022,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File005,File005,2560,7e68dba9fa672d5ede7e787e5c568a4ff2a789c0,8af314b532681aa2a272543e89bc1eeb,be03d7f716ccb1120fabf644f12d9bea11e0eeeb8b2c64686b842869cd4c50f0,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_EXECUTABLE;TEXT_FILE
G:/Users\win10secu3\Documents\File\File006,File006,4319474,7133fe4d816c890e44c4c78b58a6c8681ac874b0,17bbcf874c7ef4315dc7114f020c46e6,fe5d03498443b9d9b248d83499f26e7c177ca6e41c4394ff010f77aa85344a91,504b03040a000000000000002100ffffffff1102000011020000100000005b74726173685d2f303030302e646174ffffffff,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File007,File007,1013332,44e9c9a846f09707c247e4d4d4a3087c8574b4f1,9184f89abe4a76d7a312312396473c2c,593e2bfb37d712aa42b97ca849d23107456dcc69dc61408978c4ae4c5a9806e8,504b030414000600080000002100d4a2463fd9010000ec0900001300d3015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File008,File008,1617304,8a8b3c46ff4cb34085de75c055c43f3cc043cc1c,75c7e160e5e35d778df5907c2c94dbd0,1e8804a55aa1931e0382776bad307c5b7401daed687b87bf2dc2ca4a4cd075f5,89504e470d0a1a0a0000000d4c454e5a00000388000004ec0806000000c272ac0c0001000049444154789cecfd799c6dd975,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File009,File009,1726586,08c81c41b9bba9ec78f908a770a2144ddca93ab3,dcff3b11da469dab3029d65b9a9a026d,caa4f0870e1edf0e723db15963b182576d841a4df2202ea7e36a0c19a4a3853f,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5993243992,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File010,File010,4155280,fa74b7d0e1cec72539108a3cd9fc2bac6a7210e3,df23a5f65a651a5368a1f4c68b4537fc,3b7abb872967e1db077436f9888bb0039ad4cc0ef0ac066a638a57d4bd26c775,504b0304140006000800000021003cf321f4570200009f1600001300c0015b436f6e74656e745f54797065735d2e786d6c20,ZIP,TEXT_FILE;ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File011,File011,12996644,69c37b69b78a41efd19eea6d67b4b9b3eea1aa38,aa4fe812dc7a13e684d33bb70f3e4265,7d0d7911b0d2f8edd31039124f32e2565cd65705d491344e7e51282da201de88,504b03040a000000000000002100ffffffff0f0200000f020000100000005b74726173685d2f303030302e646174ffffffff,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File012,File012,28659,94158316e899691b587a346e5a5e5df2d6fcf437,cd7a8a6e473ca1693ae557da91650b8b,071345a2709641e09bd87d46c65dd868e1000e1429f36051df2c9b479a9e8fd5,504b03041400060008000000210004e86306f70100009b0a0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File013,File013,814,53b44947beaece17dc8d6c48ad2c8e5799a5ecb7,2d9a7072177dd37a9fbacbdaf12b8b35,ad4a58c7b13e3bf2504d6e9a4f67c03bbdc3cc09a338c3b7fdc1e890e1c80e93,efbbbf3c230a2e53594e4f505349530a095072696e747320746865204d443520636865636b73756d206f6620612066696c65,PS1,PS1_POWERSHELL
G:/Users\win10secu3\Documents\File\File014,File014,3050393,9ba252ab7303b9dbd6df8aab350e88da7f43fc1d,79c0374c3dc8abfddac0c302d0330529,233c2b822e1930e61de96b91aa6051c327301c1f46a0887f43cc21534fd44de1,504b030414000600080000002100e4a7b06feb010000350d0000130008025b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File015,File015,164,6079a4fc71df42383ada4142dffd97be27c483ea,e4507f2ec05eb69d935540e5b4d7ec5e,324d140227ff55095c890442e288bd78259fb18008caac0bf611dfccad2d2bc2,406563686f206f66660d0a736574202f6120636f756e743d2572616e646f6d25202525203230202b20310d0a6563686f2047,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File016,File016,87,f29968c8621ec698f98f555172a0b0a2fadbcb53,e71bb959c29c164e77ae88bca85852d2,a71945c90d5a1dd9b21256ad2f71d6b426aa5a51bcdc1692b128e6316771c890,406563686f206f66660d0a736574202f61206865783d2572616e646f6d25202525203235350d0a736574202f612068657832,BAT,BATCH_SCRIPT
G:/Users\win10secu3\Documents\File\File017,File017,4810789,421b51dc3fd04041d3bac7434174e80f708b056d,c374b2cac48b3b80144865fa7f181c2e,6c2ddef8af98d34537d0b8cdb4251c2d6a55b09875305c82b39bdac20dea70ef,504b03040a000000000000002100ffffffff0d0200000d020000100000005b74726173685d2f303030302e646174ffffffff,ZIP,ZIP_ARCHIVE
G:/Users\win10secu3\Documents\File\File018,File018,407134,2881a4e443a0aab7839bdf5647e9438afbe8bf24,5bd7a1b4904acc6280e2c1924a627860,304f551a0c08e27c12b749fcc8f213b97ba87c3f09d0669f6655e1a5400c933f,255044462d312e350a25f6e4fcdf0a312030206f626a0a3c3c0a2f54797065202f436174616c6f670a2f5061676573203220,PDF,PDF_DOCUMENT
G:/Users\win10secu3\Documents\File\File019,File019,1651234,ac7b220cbe0494f89ce685d7cbed849f2f992b73,9d5089314e21bb5001c52cb6228d9e0a,2517ee94d08b1eb42f5599f45066d450c26782e1c6ffc0fc0225d89c62d2e2bf,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd79b025d779,PNG,PNG_IMAGE
G:/Users\win10secu3\Documents\File\File020,File020,38102,2fb25f4805f11d6f21f0d0b06f247ebab6799d59,2452330b9f8f2c566f6b7c54d53c711a,9fd1640e94b12e51aa238c41e6306f9e0619f672f969ec4b2cb347732744188a,4100740074007200690062007500740069006f006e00200034002e003000200049006e007400650072006e00610074006900,TXT,TEXT_FILE
